DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,14,DOCKER,11,ea07060907262c3f0801000100c30b01000200850c02002e07200001000300000003000000e03d0eff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1787,1787
GROUND,14,DOCKER,11,ea07060907262d3f0801000100b70b030001008e0c020024071e0002000300000003000000e03d0eff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,88bd,88bd
GROUND,14,DOCKER,11,ea07060907262e3f0801000100c30b03000100800c01002807230003000300000003000000c73d3fff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6401,6401
GROUND,14,DOCKER,11,ea07060907262f3f0801000100bf0b020001007f0c01002d07360003000300000003000000e13dbcff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,ef58,ef58
GROUND,14,DOCKER,11,ea0706090726303d0801000000bf0b01000100800c01002b073b0001000300000003000000393eb3ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d50f,d50f
GROUND,14,DOCKER,11,ea0706090726313d0801000000b60b020001008e0c02002407340001000300000003000000393eb3ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3a6d,3a6d
GROUND,14,DOCKER,11,ea0706090726323d0801000000c70b01000200870c01002e07180001000300000003000000813dc7ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2d3c,2d3c
GROUND,14,DOCKER,11,ea0706090726333d0801000000bf0b01000100950c01002a07300001000300000003000000773d7aff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,e453,e453
GROUND,14,DOCKER,11,ea0706090726343d0801000000c00b050002008e0c020024072e0002000300000003000000363d8eff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,c8f0,c8f0
GROUND,14,DOCKER,11,ea0706090726354d0801000200ba0b01000200870c000028072d0002000300000003000000223d75ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,457f,457f
GROUND,14,DOCKER,11,ea0706090726364d0801000200b80b01000200890c01002207330001000300000003000000393e8bff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0cdd,0cdd
GROUND,14,DOCKER,11,ea0706090726373f0801000100b90b020001007f0c01002d07310002000300000003000000163e45ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,adbb,adbb
GROUND,14,DOCKER,11,ea070609072638460801000000b80b010001008f0c010028072400010003000000030000007d3d84ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,59fe,59fe
GROUND,14,DOCKER,11,ea070609072639460801000000b70b010001008e0c010023073100010003000000030000007d3d84ff180016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,134a,134a
GROUND,14,DOCKER,11,ea07060907263a380800000000a90b040001008f0c01002e07160001000300000003000000e93da8ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4dc6,4dc6
